Stock1,Stock2,Stock3,Cash
0.007,0.014,-0.002,0
-0.011,0.017,0.014,0
0.0,0.026,0.011,0
0.0,0.013,0.0,0
0.0,-0.006,-0.009,0
0.0,0.011,0.009,0
0.011,0.009,0.019,0
-0.01,0.016,0.007,0
-0.005,0.024,0.008,0
0.0,0.0,0.0,0
0.0,0.021,0.014,0
0.0,0.018,-0.008,0
0.003,-0.013,0.006,0
0.001,0.015,-0.005,0
0.0,0.01,0.019,0
-0.019,-0.016,-0.001,0
0.003,0.013,0.0,0
-0.007,-0.006,0.013,0
0.0,0.007,0.024,0
0.0,-0.001,-0.008,0
0.0,-0.013,0.009,0
-0.008,0.0,0.001,0
0.01,0.008,0.0,0
-0.011,0.0,0.0,0
-0.004,-0.023,0.007,0
-0.014,0.011,0.019,0
-0.004,-0.006,0.01,0
-0.01,0.003,0.01,0
0.0,0.019,0.007,0
-0.005,-0.011,0.023,0
0.0,0.006,0.016,0
0.0,-0.001,0.004,0
-0.001,0.017,-0.002,0
0.006,-0.013,-0.01,0
0.0,0.011,-0.002,0
-0.006,0.003,0.009,0
-0.02,-0.013,0.0,0
0.001,0.006,0.028,0
-0.01,-0.007,0.011,0
0.0,0.017,0.006,0
0.006,0.005,0.007,0
0.011,0.015,0.007,0
0.002,-0.025,0.0,0
0.007,-0.007,0.015,0
0.0,0.001,0.02,0
0.011,0.007,-0.006,0
-0.009,0.015,0.0,0
-0.003,-0.012,0.006,0
0.0,-0.008,0.017,0
0.0,0.002,0.0,0
0.0,-0.026,0.015,0
0.008,0.009,0.0,0
-0.016,0.012,0.007,0
0.0,0.0,0.029,0
